Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
341,0,0,1.1012257482000223,-1182.7680396103,-1182.7651040396,-1181.6668138621,0.0029355707000604525,0.0029355707000604525,-1182.7680396103,1.1012257482000223
105,5,0,1.1010664876998817,-1182.767526228,-1182.7652809864,-1181.6664597403,0.00224524160000783,0.0029401856000959015,-1182.7682211720003,1.1017614317001971
265,10,0,1.1010137142000076,-1182.7663290755,-1182.764627004,-1181.6653153613,0.0017020715000626296,0.0028437811999992846,-1182.7674707852,1.102155423900058
223,15,0,1.100941187700073,-1182.7643058804001,-1182.7631107595,-1181.6633646927,0.0011951208999789742,0.0026204993000646937,-1182.7657312588,1.102366566100045
183,20,0,1.1009342454001398,-1182.7615259625002,-1182.7607084194,-1181.6605917171,0.0008175431000836397,0.002232407200040143,-1182.7629408266002,1.10234910950021
118,25,0,1.100955489700027,-1182.7578978649,-1182.7573652817,-1181.6569423752,0.0005325832000835362,0.0016982662000373239,-1182.7590635479,1.1021211726999809
27,30,0,1.100976314699892,-1182.753343401,-1182.753035129,-1181.6523670863,0.0003082719999838446,0.0010820753000189143,-1182.7541172043,1.1017501179999272
51,40,0,1.1011679959001412,-1182.7412933537,-1182.7411002683,-1181.6401253578,0.00019308540004203678,0.0005274542000961446,-1182.7416277225002,1.101502364700309
306,50,0,1.1011331396002788,-1182.7241338549002,-1182.7240647122,-1181.6230007153,6.914269999924727e-05,0.0001401339000040025,-1182.7242048461,1.1012041308001699
173,60,0,1.1010697207998419,-1182.7008930352,-1182.7005384434,-1181.5998233144,0.0003545917999190351,0.0,-1182.7005384434,1.1007151290000365
330,0,10,1.1013422013998024,-1182.7680788709,-1182.7651386853,-1181.6667366695,0.0029401856000959015,0.00012832570007503818,-1182.765267011,1.098530341500009
82,5,10,1.101167008000175,-1182.7673975275002,-1182.7650371707,-1181.6662305195,0.0023603568000680752,0.0005107258000407455,-1182.7655478965,1.099317377000034
285,10,10,1.1010988909999924,-1182.7660212706,-1182.7640690628,-1181.6649223796,0.0019522078000591137,0.001083286399989447,-1182.7651523492,1.1002299695999227
244,15,10,1.1010129886999493,-1182.7638031616,-1182.7622118811,-1181.6627901729,0.0015912804999516084,0.0017431329000601181,-1182.7639550140002,1.1011648411001715
209,20,10,1.1009866151000551,-1182.7607866779001,-1182.7594273535,-1181.6598000628,0.0013593244000276172,0.002376528900072117,-1182.7618038824003,1.1020038196002133
121,25,10,1.10098879879979,-1182.7568866935999,-1182.7556563028,-1181.6558978948,0.001230390800060377,0.0028845187999877453,-1182.7585408216,1.1026429267999447
11,30,10,1.1009757830001945,-1182.7519886812001,-1182.7508300208,-1181.6510128982,0.0011586603999376166,0.0032584530000576706,-1182.7540884738,1.1030755756000872
43,40,10,1.1010883949002164,-1182.7389799121001,-1182.7376183086,-1181.6378915172,0.001361603500072306,0.0035023738000745652,-1182.7411206824002,1.1032291652002186
315,50,10,1.1009082227001272,-1182.7202440621002,-1182.7186574095,-1181.6193358394,0.0015866526000536396,0.0036671136000450133,-1182.7223245231003,1.1029886837002323
160,60,10,1.1006405671998891,-1182.6944970042,-1182.6921436979,-1181.593856437,0.0023533062999376853,0.003798099800064847,-1182.6959417977,1.1020853606999026
347,0,20,1.1017600494001272,-1182.7682641766,-1182.7654203954,-1181.6665041272,0.0028437811999992846,0.0039374985000222296,-1182.7693578939002,1.1028537667002638
73,5,20,1.1016188728999623,-1182.7674893685,-1182.7650182835,-1181.6658704956,0.0024710850000246865,0.004098168300060934,-1182.7691164518,1.1032459561999985
275,10,20,1.1015801006001311,-1182.766007012,-1182.7637360011,-1181.6644269114,0.002271010900017245,0.004274487900033819,-1182.768010489,1.1035835776001477
239,15,20,1.101523039599897,-1182.7636688585999,-1182.7615420564,-1181.662145819,0.0021268021999958364,0.00443540130004294,-1182.7659774577,1.1038316387000577
213,20,20,1.1015242440003021,-1182.7605133195002,-1182.7583924368,-1181.6589890755,0.00212088270006916,0.0045393689000547965,-1182.7629318057002,1.1039427302002878
127,25,20,1.1015528996997546,-1182.7564437925998,-1182.7542149979,-1181.6548908929,0.0022287947000450004,0.004600386600031925,-1182.7588153845,1.1039244915998552
22,30,20,1.101565312899993,-1182.7513324033,-1182.7489236214,-1181.6497670904,0.0024087818999305455,0.004602476300078706,-1182.7535260977002,1.103759007300141
67,40,20,1.1017190754998865,-1182.7376738266998,-1182.7344921738,-1181.6359547512,0.003181652900025256,0.004546855700027663,-1182.7390390295,1.1030842783000026
310,50,20,1.101566689799938,-1182.717838966,-1182.71370507,-1181.6162722762,0.004133895999984816,0.00442299530004675,-1182.7181280653,1.1018557891
146,60,20,1.101332858899923,-1182.6902996483,-1182.6843700471,-1181.5889667894,0.005929601200023171,0.004244996199986417,-1182.6886150433,1.0996482538998862
329,0,30,1.1024217004001002,-1182.7685802772,-1182.7659597779,-1181.6661585768,0.0026204993000646937,0.004022960500037698,-1182.7699827384,1.1038241615999596
90,5,30,1.1023368559001483,-1182.7678011324,-1182.765323729,-1181.6654642765,0.0024774034000074607,0.003773624100062989,-1182.7690973531003,1.1036330766003175
