Phi,Theta,E_deloc
0,0,0.1483241765114026
0,10,0.07123802197907708
0,20,0.0
0,30,0.08510277060341014
0,40,0.4924795427014374
0,50,1.1875017338905978
0,60,2.06429382948305
0,70,2.9269313930630387
0,80,3.626169440763428
0,90,4.006541237717962
0,100,3.991157980171855
0,110,3.6252827080130907
0,120,3.006056387241468
0,130,2.3090653239185253
0,140,1.6696356610994412
0,150,1.2074242034259246
0,160,0.9381304102809828
0,170,0.8036119335368658
0,180,0.7141439591474846
0,190,0.6265290186428734
0,200,0.6341738982044626
0,210,0.8334572026780152
0,220,1.3115746330738793
0,230,2.0043227317264036
0,240,2.7924059510141475
0,250,3.5268973914139665
0,260,4.070261074260964
0,270,4.293221548185976
0,280,4.16340625102579
0,290,3.7167685630701217
0,300,3.0111090899224293
0,310,2.1746668268248786
0,320,1.3341925049127972
0,330,0.6758160231641464
0,340,0.3025252890474503
0,350,0.1899730787249023
5,0,0.3211249699026139
5,10,0.25603038611400414
5,20,0.19283966504306774
5,30,0.2784972790008187
5,40,0.6757908600054625
5,50,1.3504107258361873
5,60,2.1985512626755868
5,70,3.037033494581066
5,80,3.720882449448473
5,90,4.09663352045847
5,100,4.088620983580787
5,110,3.738211486813086
5,120,3.1311088909517255
5,130,2.444901569323895
5,140,1.8169546310444948
5,150,1.3680359474554722
5,160,1.1067256377431596
5,170,0.9773827922206187
5,180,0.8855374376635823
5,190,0.7961236173845241
5,200,0.8104545426228638
5,210,1.0183670995180873
5,220,1.502644722902642
5,230,2.20223800371475
5,240,2.9990166776369453
5,250,3.743196292825134
5,260,4.293618447568797
5,270,4.520806072762229
5,280,4.384104492465665
5,290,3.9135474157217978
5,300,3.174819348168613
5,310,2.3065385336973554
5,320,1.445582442744213
5,330,0.7834761106296105
5,340,0.4253442995384048
5,350,0.33475007254915135
10,0,0.5276071198928062
10,10,0.4812605603444636
10,20,0.4187906585725732
10,30,0.4974147751706678
10,40,0.8743842183533416
10,50,1.519880575738188
10,60,2.333408657184605
10,70,3.144210212324327
10,80,3.8093751487632947
10,90,4.182107211732695
10,100,4.184589951230851
10,110,3.8516272750772815
10,120,3.257945967724964
10,130,2.5884585610102544
10,140,1.9796463796171448
10,150,1.5540250345034865
10,160,1.3109584822534825
10,170,1.1924816451559215
10,180,1.0994994951602977
10,190,1.004868439596617
10,200,1.0154660627779668
10,210,1.2194386162259017
10,220,1.6980944493571024
10,230,2.395162131888638
10,240,3.19466695601561
10,250,3.945992329563885
10,260,4.5047676958996785
10,270,4.737922806365181
10,280,4.595994766299496
10,290,4.104725814056565
10,300,3.3365097804612835
