Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
226,0,0,1.0492542050999418,-1571.7346595614,-1571.7333615322,-1570.6854053563,0.001298029199915618,0.001298029199915618,-1571.7346595614,1.0492542050999418
82,5,0,1.048496541600116,-1571.7334484916,-1571.7334306176,-1570.68495195,1.78739999228128e-05,0.001298029199915618,-1571.7347286468,1.0497766968001088
133,10,0,1.0488341742998273,-1571.7321684923,-1571.7321684923,-1570.683334318,0.0,0.0,-1571.7321684923,1.0488341742998273
26,15,0,1.048969513900147,-1571.7297047002,-1571.7297047002,-1570.6807351863,0.0,0.0018943485999898257,-1571.7315990488,1.0508638625001367
203,20,0,1.048915780399966,-1571.7258648517,-1571.7258648517,-1570.6769490713,0.0,0.0024875664998944558,-1571.7283524181998,1.0514033468998605
288,25,0,1.0486193620999984,-1571.7207479257,-1571.7207479257,-1570.6721285636,0.0,0.0031903554998962136,-1571.7239382812,1.0518097176000083
42,30,0,1.048079651900025,-1571.714101398,-1571.714101398,-1570.6660217461,0.0,0.003900102800002969,-1571.7180015007998,1.0519797546999143
284,40,0,1.0463330618001692,-1571.6963770133002,-1571.6961674034,-1570.6500439515,0.00020960990002549806,0.00452197009997235,-1571.7006893735002,1.050645422000116
146,50,0,1.0453681341998617,-1571.6735507653998,-1571.6711121037,-1570.6281826312,0.002438661700011835,0.0049578358999724514,-1571.6760699396,1.0478873084000497
337,60,0,1.0440625119999822,-1571.6432079454,-1571.6376154949,-1570.5991454334,0.005592450499989354,0.005143429999975524,-1571.6427589249001,1.043613491500082
223,0,10,1.0497256722999282,-1571.7361990786999,-1571.7349010495,-1570.6864734064,0.001298029199915618,0.00504495769996538,-1571.7399460072,1.053472600799978
103,5,10,1.0488066057998822,-1571.7344137665,-1571.7344137665,-1570.6856071607,0.0,0.004689811199909855,-1571.7391035777,1.0534964169999057
141,10,10,1.0490335211000001,-1571.7326825907,-1571.7326512569,-1570.6836490696,3.1333800052379956e-05,0.004126113999973313,-1571.7367773709,1.053128301299921
20,15,10,1.0490473303998442,-1571.7296301797999,-1571.7295828605,-1570.6805828494,4.7319299937953474e-05,0.0034319301998948504,-1571.7330147906998,1.052431941299801
200,20,10,1.04886874430008,-1571.7252507608,-1571.725164903,-1570.6763820165,8.5857800058875e-05,0.002728545399918403,-1571.7278934483998,1.0515114318998258
292,25,10,1.0483999677001066,-1571.7193984208002,-1571.7193271916,-1570.6709984531,7.122920010260714e-05,0.0021356914999159926,-1571.7214628831,1.05046442999992
52,30,10,1.0476839443001609,-1571.712051761,-1571.7119870008,-1570.6643678167,6.47601999617109e-05,0.0017631453999911173,-1571.7137501462,1.0493823295000766
275,40,10,1.0455361858998913,-1571.6926010285,-1571.6924236275,-1570.6470648426,0.00017740099997354264,0.0016687964999846372,-1571.6940924239998,1.0470275813997887
171,50,10,1.0439874763001171,-1571.6676052834,-1571.6654974505,-1570.6236178071,0.002107832900037465,0.001855387499972494,-1571.667352838,1.0437350309000522
330,60,10,1.0419011193002916,-1571.6346345339002,-1571.6299201434,-1570.5927334146,0.004714390499998444,0.002245534899998347,-1571.6321656783002,1.0394322637002915
234,0,20,1.0494069563999346,-1571.7382097728,-1571.7382097728,-1570.6888028164,0.0,0.0027265237999927194,-1571.7409362966,1.0521334801999274
80,5,20,1.049954219500023,-1571.7377935401,-1571.7374710559,-1570.6878393206,0.00032248419995539734,0.0031436948999044034,-1571.7406147508,1.052775430199972
128,10,20,1.0501581215999067,-1571.7358902223,-1571.7353972501,-1570.6857321007,0.000492972200049735,0.0033511856998984513,-1571.7387484358,1.0530163350999828
1,15,20,1.0501348991999748,-1571.7325874002,-1571.7319430707,-1570.682452501,0.0006443295000053695,0.0032940800999767816,-1571.7352371508,1.05278464980006
189,20,20,1.0499036014000467,-1571.7278601464,-1571.7270454801,-1570.677956545,0.0008146663000161425,0.0029981612999563367,-1571.7300436414,1.0520870964001006
297,25,20,1.0493656387998271,-1571.7215431623,-1571.7206152524,-1570.6721775235,0.000927909900042323,0.0025747739999815167,-1571.7231900264,1.0510125028999937
64,30,20,1.0485627485998066,-1571.7135930704999,-1571.7125485215,-1570.6650303219,0.0010445489999710844,0.0021609131999866804,-1571.7147094347,1.0496791127998222
268,40,20,1.0461744070998975,-1571.6923648453999,-1571.6909747455,-1570.6461904383,0.0013900998999361036,0.001878004199966199,-1571.6928527496998,1.046662311399814
159,50,20,1.044259444500085,-1571.6644622956,-1571.6609371355,-1570.6202028511,0.0035251601000254595,0.0017818074999240707,-1571.662718943,1.0425160919000973
325,60,20,1.0416355463999025,-1571.6269610861,-1571.6206804476,-1570.5853255397,0.006280638500015812,0.0018728085999555333,-1571.6225532562,1.037227716499956
248,0,30,1.0525836401000106,-1571.7434487208,-1571.7415543722,-1570.6908650807,0.0018943485999898257,0.0020635454000057507,-1571.7436179176,1.0527528369000265
79,5,30,1.0517334407002181,-1571.7417357915,-1571.7407713497,-1570.6900023508,0.0009644417999652433,0.0022200930999360935,-1571.7429914427998,1.0529890919999616
109,10,30,1.052014114700114,-1571.7400318402001,-1571.7386758289,-1570.6880177255,0.0013560113000039564,0.0022549199999275515,-1571.7409307489002,1.0529130234001514
15,15,30,1.0520668679998835,-1571.736952648,-1571.7352249541,-1570.68488578,0.0017276938999657432,0.002124557199977062,-1571.7373495113,1.0524637312998948
180,20,30,1.0519121923000512,-1571.7324720182,-1571.7303509746,-1570.6805598259,0.0021210436000274058,0.0018696018998980435,-1571.7322205765,1.0516607505999218
